Country,Provider,City,Hotel Name,Address,Rating,No Of Ratings,Rating Summary,Amenities,Room Type,Final Price,Slashed Price,Discount(%)
India,OYO,Agra,SPOT ON 38150 Pyrenees SPOT,"Near WOS Cafe, Tajganj, Agra",3.4,66,Fair,"Parking Facility, Kitchen, Daily Housekeeping, + 8 more",,₹502,₹737,32% off
India,OYO,Agra,Capital O 2508 Hotel Shree Residency,"Bypass Road, Agra",4.4,54,Very,"Parking Facility, AC, TV, + 5 more",,₹1216,₹2523,52% off
India,OYO,Agra,OYO 3426 White Inn,"Near Taj Mahal, Agra",3.5,45,Good,"AC, Power backup, Free Wifi, + 4 more",,₹946,₹1735,45% off
India,OYO,Agra,OYO 29412 Jyoti Palace,"Opposite Kailash Talkies, Fatehabad Road, Agra",NEW,nan,nan,"Parking Facility, Kitchen, First Aid, + 12 more",,₹890,₹1702,48% off
India,OYO,Agra,SPOT ON 41746 Hotel Grace SPOT,"Near Happy Home Hospital, Tajganj, Agra",4.1,539,Very,"Parking Facility, Kitchen, Attached Bathroom, + 7 more",,₹643,₹942,32% off
India,OYO,Agra,OYO 37470 The Mohan Grand,"Near Jaypee Palace Tora Police Chawki, Agra",4.6,3,Excellent,"First Aid, Daily Housekeeping, AC, + 12 more",,₹916,₹1344,32% off
India,OYO,Agra,SPOT ON 46406 Ansh Villa SPOT,"Sanjay Vihar Colony, Tajganj, Agra",4.0,209,Very,"Parking Facility, CCTV Cameras, Power backup, + 1 more",,₹540,₹792,32% off
India,OYO,Agra,OYO 9590 P S Villa,"Taj Nagari Phase-2, Agra",4.1,93,Very,"Parking Facility, AC, TV, + 5 more",,₹1298,₹1904,32% off
India,OYO,Agra,OYO 24723 Hotel Atul Palace,"Railway Station Road, Agra",NEW,nan,nan,"Parking Facility, Kitchen, First Aid, + 7 more",,₹909,₹1333,32% off
India,OYO,Agra,OYO 65448 The White Rock Residency,"100 feet bypass road, Agra",NEW,nan,nan,"Attached Bathroom, 24/7 Checkin",,₹875,₹1283,32% off
India,OYO,Agra,OYO 40300 Hotel Arjit Palace,"Near Tajganj, Agra",4.0,1,Very,"Kitchen, First Aid, Attached Bathroom, + 12 more",,₹954,₹1399,32% off
India,OYO,Agra,OYO 65072 Hotel J S Royal,"Near Hema Petrol Pump, Pashchimpuri Road Bodla, Agra",NEW,nan,nan,"Parking Facility, In-house Restaurant, Kitchen, + 7 more",,₹875,₹1283,32% off
India,OYO,Agra,SPOT ON 49331 Hotel Greenland  SPOT,"Near St. Marty's School, Visvakarma Puram, Agra",3.0,18,Fair,"Power backup, CCTV Cameras, Geyser",,₹540,₹792,32% off
India,OYO,Agra,OYO 30759 Taj Path,"Near Taj Path, Chennai - Delhi Highway, Agra",4.4,16,Very,"First Aid, Attached Bathroom, Daily Housekeeping, + 9 more",,₹954,₹1399,32% off
India,OYO,Agra,SPOT ON 61609 Hotel Shanti Villa - Inn,"Tajganj, Agra",NEW,nan,nan,nan,,₹819,₹1201,32% off
India,OYO,Agra,OYO 48689 Rasoi Ratan,"Near Shri Mahaveer Dhaba, Kuberpur, Agra",NEW,nan,nan,nan,,₹916,₹1344,32% off
India,OYO,Agra,OYO 63492 Malka Vilas Home Stay,"Opp. Shahjahan Garden, Kherati Tola, TajGanj",NEW,nan,nan,nan,,₹1216,₹1783,32% off
India,OYO,Agra,OYO 37540  Hotel Radha Grand,"Tajganj, Tora, Agra",5.0,3,Fabulous,"Parking Facility, First Aid, Daily Housekeeping, + 10 more",,₹949,₹1391,32% off
India,OYO,Agra,OYO 22293 HOTEL LAXMAN RESORT,"Fatehabad road, Agra",NEW,nan,nan,"Complimentary Breakfast, Kitchen, AC, + 6 more",,₹1216,₹1783,32% off
India,OYO,Agra,OYO 29411 Hotel Vanshika,"Near Canara Bank, Sadar Bajar Fatehabad Road, Agra",3.8,118,Good,"Parking Facility, Kitchen, First Aid, + 10 more",,₹943,₹1575,40% off
India,OYO,Agra,OYO 33011 Hotel Suryansh,"Near Itora Chauraha, Gwalior Road, Agra",3.0,4,Fair,"First Aid, Daily Housekeeping, Swimming Pool, + 13 more",,₹1494,₹3517,58% off
India,OYO,Agra,Capital O 31045 The Taj Residency- A Heritage Hotel,"Near Taj Mahal, Shilpgram Road, Agra",4.7,1629,Excellent,"Parking Facility, Kitchen, First Aid, + 13 more",,₹1407,₹2063,32% off
India,OYO,Agra,OYO 61578 Shiv Shankar,"Hathras Road, Agra",4.0,123,Very,"Parking Facility, CCTV Cameras, Geyser, + 4 more",,₹1014,₹1487,32% off
India,OYO,Agra,SPOT ON 18746 Shree Inn SPOT,"Beside Mansingh Palace, Tajganj, Agra",3.8,171,Good,"Power backup, CCTV Cameras",,₹766,₹1123,32% off
India,OYO,Agra,OYO 19459 Hotel The Kamta,"Nehru Nagar, New Agra Colony, Agra",4.3,412,Very,"Elevator, AC, Banquet Hall, + 10 more",,₹1468,₹2152,32% off
India,OYO,Agra,OYO 6072 Aaradhya residency,"Taj Nagri phase-2, Agra",3.8,17,Good,"Parking Facility, Kitchen, CCTV Cameras, + 5 more",,₹1014,₹1487,32% off
India,OYO,Agra,OYO 24878 Hotel Aicon Palace,"Near Taj Mahal, Agra",NEW,nan,nan,"First Aid, Daily Housekeeping, AC, + 12 more",,₹876,₹1284,32% off
India,OYO,Agra,OYO 10133 Hotel Rama Grand HS,"Fatehabad Road, Agra",4.0,34,Very,"Parking Facility, Kitchen, CCTV Cameras, + 6 more",,₹1014,₹1529,34% off
India,OYO,Agra,OYO 24670 Hotel Taj Villa & Restaurant,"Near Shilpgram Parking, Tajganj, Agra",NEW,nan,nan,"Parking Facility, First Aid, Buzzer/Door Bell, + 11 more",,₹913,₹1577,42% off
India,OYO,Agra,OYO 33490 The Soft Petal By RIK,"Near Taj Nagari, Agra",3.6,51,Good,"Parking Facility, Wheelchair Accessible, AC, + 6 more",,₹913,₹1338,32% off
India,OYO,Agra,OYO 22661 M.S Clark - 1,"Near Agra Fort, Tajganj, Agra",3.5,4,Good,"First Aid, Daily Housekeeping, Reception, + 11 more",,₹871,₹1278,32% off
India,OYO,Agra,OYO 10876 Hotel Taj signature,"Taj Ganj Basai, Agra",5.0,1,Fabulous,"AC, TV, Card Payment, + 4 more",,₹913,₹1338,32% off
India,OYO,Agra,OYO 60827 The Agra House by Ruby HS,"Fatehabad Road, Agra",NEW,nan,nan,"Parking Facility, AC, TV, + 4 more",,₹920,₹1349,32% off
India,OYO,Agra,OYO 28158 Avalon Taj View,"Near Double Tree By Hilton Taj, Fatehbad Road, Agra",NEW,nan,nan,"Parking Facility, Kitchen, First Aid, + 15 more",,₹937,₹2208,58% off
India,OYO,Agra,OYO 11608 Riddhee Siddhee,"Near Shilpgram Parking, Tajganj, Agra",NEW,nan,nan,"Parking Facility, In-house Restaurant, AC, + 6 more",,₹913,₹1338,32% off
India,OYO,Agra,OYO 11540 Hotel Royal INN,"Near AgraFort, Agra",NEW,nan,nan,"Parking Facility, AC, TV, + 4 more",,₹872,₹1279,32% off
India,OYO,Agra,OYO 24600 Grand Harshit Resort,"Shilpgram Road, Agra",3.8,76,Good,"Parking Facility, Kitchen, First Aid, + 10 more",,₹875,₹1283,32% off
India,OYO,Agra,OYO 29423 03 Townhouse Inn,"Agra - Bah Rd, Tajganj, Agra",3.3,52,Fair,"Daily Housekeeping, AC, Room Heater, + 16 more",,₹954,₹1399,32% off
India,OYO,Agra,OYO 37381 Hotel The Elite Inn,"Indrapuram, Tajganj, Agra",NEW,nan,nan,"Kitchen, First Aid, Attached Bathroom, + 10 more",,₹913,₹1339,32% off
India,OYO,Agra,OYO 23158 Hotel The Taj,"Fatehabad Road, Agra",NEW,nan,nan,"First Aid, Daily Housekeeping, Elevator, + 15 more",,₹872,₹1279,32% off
India,OYO,Agra,OYO 22826 Hotel Sheltear & Resturant,"Sikandra Crossing, Agra",3.0,44,Fair,"First Aid, Attached Bathroom, Daily Housekeeping, + 12 more",,₹1005,₹1598,37% off
India,OYO,Agra,OYO 11539 Hotel Priya,"Opposite Priya Restaurant, Basai Khurd, Agra",3.1,8,Fair,"AC, TV, Banquet Hall, + 5 more",,₹857,₹1735,51% off
India,OYO,Agra,OYO 23221 Amigos Suites Deluxe,"Fatehabad Road, Agra",4.0,58,Very,"Parking Facility, Kitchen, First Aid, + 15 more",,₹1303,₹1911,32% off
India,OYO,Agra,SPOT ON 65681 Classic Gold SPOT,"Pushpa Vihar Colony, Agra",NEW,nan,nan,"Parking Facility, In-house Restaurant, 24/7 Checkin, + 3 more",,₹712,₹1043,32% off
India,OYO,Agra,SPOT ON 43140 Classic Homestay SPOT,"Tajganj, Basai, Agra",4.1,124,Very,"Kitchen, AC, TV, + 4 more",,₹540,₹792,32% off
India,OYO,Agra,OYO 61021 Hotel Md Grand,"Avas Vikas Colony, Agra",3.2,22,Fair,"Attached Bathroom, Daily Housekeeping, CCTV Cameras, + 6 more",,₹875,₹1283,32% off
India,OYO,Agra,OYO 44134 Hotel Radhika Resort,"Agra Bypass, Fatehpur Sikri Road, Agra",4.6,17,Excellent,"Parking Facility, AC, TV, + 4 more",,₹879,₹1289,32% off
India,OYO,Agra,OYO 24081 Hotel Lata Palace & Resort,"NH11, Midhakur, Agra",4.7,19,Excellent,"Parking Facility, First Aid, Attached Bathroom, + 16 more",,₹920,₹1779,48% off
India,OYO,Agra,OYO 64843 Olive Inn,"Taj Nagari, Phase II, Agra",NEW,nan,nan,"Attached Bathroom, 24/7 Checkin, CCTV Cameras, + 1 more",,₹875,₹1283,32% off
